date,revenue,orders,revenue_7d_avg,orders_7d_avg,day_of_week,month,day,week_of_year,revenue_lag_1,revenue_lag_7,revenue_lag_14,revenue_roll_7,revenue_roll_30,revenue_lag_2,revenue_lag_3,revenue_lag_30,revenue_roll_3,revenue_roll_14,revenue_std_7,is_weekend,is_holiday,near_holiday,is_month_end,is_month_start,november_sale_period
2016-07-01,301877.0,297.0,,,4,7,1,26,,,,,,,,,,,,0,0,0,0,1,0
2016-07-02,220574.0,109.0,,,5,7,2,26,301877.0,,,,,,,,,,,1,0,0,0,1,0
2016-07-03,80073.0,64.0,,,6,7,3,26,220574.0,,,,,301877.0,,,,,,1,0,1,0,1,0
2016-07-04,172844.25,108.0,,,0,7,4,27,80073.0,,,,,220574.0,301877.0,,200841.33333333334,,,0,0,1,0,1,0
2016-07-05,66167.25,56.0,,,1,7,5,27,172844.25,,,,,80073.0,220574.0,,157830.41666666666,,,0,0,1,0,1,0
2016-07-06,36488.0,26.0,,,2,7,6,27,66167.25,,,,,172844.25,80073.0,,106361.5,,,0,1,1,0,0,0
2016-07-07,40128.0,20.0,131164.5,97.14285714285714,3,7,7,27,36488.0,,,,,66167.25,172844.25,,91833.16666666667,,,0,0,1,0,0,0
2016-07-08,70416.0,36.0,98098.64285714286,59.857142857142854,4,7,8,27,40128.0,301877.0,,131164.5,,36488.0,66167.25,,47594.416666666664,,102437.20496876368,0,0,1,0,0,0
2016-07-09,207219.5,69.0,96190.85714285714,54.142857142857146,5,7,9,27,70416.0,220574.0,,98098.64285714286,,40128.0,36488.0,,49010.666666666664,,70538.93960871559,1,0,0,0,0,0
2016-07-10,191796.0,57.0,112151.28571428571,53.142857142857146,6,7,10,27,207219.5,80073.0,,96190.85714285714,,70416.0,40128.0,,105921.16666666667,,66753.43042212905,1,0,0,0,0,0
2016-07-11,294381.01,131.0,129513.68000000001,56.42857142857143,0,7,11,28,191796.0,172844.25,,112151.28571428571,,207219.5,70416.0,,156477.16666666666,,75092.75808325726,0,0,0,0,0,0
2016-07-12,246665.5,136.0,155299.14428571428,67.85714285714286,1,7,12,28,294381.01,66167.25,,129513.68000000001,,191796.0,207219.5,,231132.17,,101034.15367375845,0,0,0,0,0,0
2016-07-13,396331.0,148.0,206705.28714285715,85.28571428571429,2,7,13,28,246665.5,36488.0,,155299.14428571428,,294381.01,191796.0,,244280.83666666667,,105122.90331479815,0,0,0,0,0,0
2016-07-14,354978.0,302.0,251683.85857142857,125.57142857142857,3,7,14,28,396331.0,40128.0,,206705.28714285715,,246665.5,294381.01,,312459.17,,123684.46116795417,0,0,0,0,0,0
2016-07-15,332295.5,217.0,289095.21571428573,151.42857142857142,4,7,15,28,354978.0,70416.0,301877.0,251683.85857142857,,396331.0,246665.5,,332658.1666666667,191424.17928571426,109439.76819716873,0,0,0,0,0,0
2016-07-16,137336.8,147.0,279111.97285714286,162.57142857142858,5,7,16,28,332295.5,207219.5,220574.0,289095.21571428573,,354978.0,396331.0,,361201.5,193596.92928571426,77141.97933912123,1,0,0,0,0,0
2016-07-17,154984.0,51.0,273853.1157142857,161.71428571428572,6,7,17,28,137336.8,191796.0,80073.0,279111.97285714286,,332295.5,354978.0,,274870.10000000003,187651.415,92497.42141353186,1,0,0,0,0,0
2016-07-18,388799.0,190.0,287341.4,170.14285714285714,0,7,18,29,154984.0,294381.01,172844.25,273853.1157142857,,137336.8,332295.5,,208205.43333333335,193002.20071428572,99099.88503979747,0,0,0,0,0,0
2016-07-19,179898.0,170.0,277803.1857142857,175.0,1,7,19,29,388799.0,246665.5,66167.25,287341.4,,154984.0,137336.8,,227039.93333333335,208427.54,108353.08676499875,0,0,0,0,0,0
2016-07-20,204758.0,194.0,250435.61428571428,181.57142857142858,2,7,20,29,179898.0,396331.0,36488.0,277803.1857142857,,388799.0,154984.0,,241227.0,216551.165,115249.7730362542,0,0,0,0,0,0
2016-07-21,473061.0,188.0,267304.6142857143,165.28571428571428,3,7,21,29,204758.0,354978.0,40128.0,250435.61428571428,,179898.0,388799.0,,257818.33333333334,228570.45071428572,104673.24534382271,0,0,0,0,0,0
2016-07-22,279976.0,215.0,259830.4,165.0,4,7,22,29,473061.0,332295.5,70416.0,267304.6142857143,,204758.0,179898.0,,285905.6666666667,259494.23642857143,130626.65601594532,0,0,0,0,0,0
2016-07-23,279533.0,129.0,280144.14285714284,162.42857142857142,5,7,23,29,279976.0,137336.8,207219.5,259830.4,,473061.0,204758.0,,319265.0,274462.8078571429,127753.43518350758,1,0,0,0,0,0
2016-07-24,133182.0,75.0,277029.5714285714,165.85714285714286,6,7,24,29,279533.0,154984.0,191796.0,280144.14285714284,,279976.0,473061.0,,344190.0,279628.0578571429,115773.20830749028,1,0,0,0,0,0
2016-07-25,537375.0,274.0,298254.71428571426,177.85714285714286,0,7,25,30,133182.0,388799.0,294381.01,277029.5714285714,,279533.0,279976.0,,230897.0,275441.34357142856,119920.47417470349,0,0,0,1,0,0
2016-07-26,402445.99,275.0,330047.2842857143,192.85714285714286,1,7,26,30,537375.0,179898.0,246665.5,298254.71428571426,,133182.0,279533.0,,316696.6666666667,292798.0571428571,151887.73866874436,0,0,0,1,0,0
2016-07-27,325555.99,211.0,347304.14,195.28571428571428,2,7,27,30,402445.99,204758.0,396331.0,330047.2842857143,,537375.0,133182.0,,357667.66333333333,303925.235,146168.53772013463,0,0,0,1,0,0
2016-07-28,585384.65,440.0,363350.3757142857,231.28571428571428,3,7,28,30,325555.99,473061.0,354978.0,347304.14,,402445.99,537375.0,,421792.32666666666,298869.8771428571,135664.79646478125,0,0,0,1,0,0
2016-07-29,516275.65,244.0,397107.4685714286,235.42857142857142,4,7,29,30,585384.65,279976.0,332295.5,363350.3757142857,,325555.99,402445.99,,437795.5433333333,315327.49500000005,157847.39024323187,0,0,0,1,0,0
2016-07-30,387415.0,201.0,412519.1828571429,245.71428571428572,5,7,30,30,516275.65,279533.0,137336.8,397107.4685714286,,585384.65,325555.99,,475738.76333333337,328468.9342857143,162251.2739559891,1,0,0,1,0,0
2016-07-31,131808.0,44.0,412322.8971428572,241.28571428571428,6,7,31,30,387415.0,133182.0,154984.0,412519.1828571429,266607.1363333333,516275.65,585384.65,301877.0,496358.43333333335,346331.66285714286,154143.00564120722,1,0,0,1,0,0
2016-08-01,450788.7,245.0,399953.4257142857,237.14285714285714,0,8,1,31,131808.0,537375.0,388799.0,412322.8971428572,260938.16966666665,387415.0,516275.65,220574.0,345166.2166666667,344676.2342857143,154558.31363736227,0,0,0,0,1,0
2016-08-02,703731.0,355.0,442994.1414285715,248.57142857142858,1,8,2,31,450788.7,402445.99,179898.0,399953.4257142857,268611.993,131808.0,387415.0,80073.0,323337.23333333334,349104.07,146116.50413457,0,0,0,0,1,0
